state_id,game_index,fold,phase_index,phase_name,power,counterpart,focal_location,option_a,option_b,conversation_volume,pair_score,parent_game_sha256,post_state_sha256_a,post_state_sha256_b
cicero_g030_p000_RUSSIA,30,0,0,S1901M,RUSSIA,AUSTRIA,STP,F STP/SC S A MOS - LVN,F STP/SC - FIN,44,140,a9ebf8f62b7271d1e32f7944faaacd3f1c6405ce10a01199148064a6944b0d03,a0dc8302d732605edc77c96451f43d12cfc2ada3ce0edeaaea234d2afaab8314,a39c9f6bd4ad012a004764ac496795e3379294708615b33ea0a317d5f2f29d14
cicero_g031_p000_RUSSIA,31,1,0,S1901M,RUSSIA,FRANCE,STP,F STP/SC - FIN,F STP/SC S A MOS - LVN,4,120,31a05bd8603b314954c8c421efded1585c801a36c41c298d60f38dec5819826c,500a298dde075c6c366200f4bf71fdb40bd1cdfdf6d7da0cf0939449bc4ecacf,bfae04b1fd79a65cfdd1a52a9a510cb811762c2a35f63872fd1ee5cf8b061d13
cicero_g032_p001_AUSTRIA,32,2,1,F1901M,AUSTRIA,RUSSIA,SER,A SER S A UKR - RUM,A SER - ALB,12,220,a7c100faca07ed66a7236e74c5ad3c9791d6bf1ba09bcd10e40ed8d46e799a74,ba61cda120bf1f60c6aecb2146ef37314962d79afb4d6fa98dc3c63c9d19f703,69526f092377e65014c48145abafc019ae1ea931e4980e949a4a0d21d361bb17
cicero_g033_p013_AUSTRIA,33,3,13,F1904M,AUSTRIA,RUSSIA,AEG,F AEG - BUL/SC,F AEG S A ARM - SMY,13,220,6c739ff265748f587acee98422823cb64a37b1b7cf4046b9d6230c3a00fdd0a2,5708bf6b2694a13d7aaa2b70521875043a3edd433defec145a5a7d8adbbe8be0,387971200c084a5ecdfc79fe2b0fc6dd7224e7f033e17d42be3b0a09c95f8d06
cicero_g034_p001_ENGLAND,34,4,1,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S A RUH - BEL,13,220,4705a257b993709502c2c21a03cddbe061c14320a95e9d814798f5745f5466dc,29f52da6ab4a53b237c45edc39f01cb26647031e2bca6fb0921abd42a6bbb4c1,56e52f4185aca96ef83e8d0a1d6fce58096bc07b80e9c4f674d25cad7f8a6c8e
cicero_g035_p005_ITALY,35,0,5,F1902M,ITALY,RUSSIA,ION,F ION S A CON - GRE,F ION - ADR,9,180,cf9a027f3624c4c7e8afed578a53820c4158e43634c4b86041ae001d0e492f15,a5f7c3ec80cb3abfe258ecfcf3df7bdf648bdeee1a09685c1f54e0b20dc9c93e,2e8a35af5178d958ee0afc3f2a671d60da23a7154408382cf11da10d6e30e81b
cicero_g036_p025_ENGLAND,36,1,25,S1907M,ENGLAND,GERMANY,EDI,A EDI S A LVP,A EDI - CLY,3,160,49c11161c7a972c03491954fc9f77fcca1dad279fe933df46b85959cff468369,9c58100b1693684686b62e4a69de6df7212861eb1af040204133661db0e2fedf,b1e06518b04939d4b3b547f11deafb3baf8973ad6fcfa753918c6fbd8718d9ff
cicero_g037_p001_ITALY,37,2,1,F1901M,ITALY,TURKEY,VEN,A VEN - APU,A VEN S A SER - TRI,22,200,8d2e84b08b59c1e20bc0556e1b6080d1d06af3d8d22eea3ebf918104fc3b2d51,a81f5998ba7aee82a9414df8744f8d28953387f34ff77e302f39c6534f3a3ea1,b13f0cc10a7453a81818609775a228c2f7d827971c2613a0c61e8368d71f013f
cicero_g038_p003_TURKEY,38,3,3,S1902M,TURKEY,AUSTRIA,SMY,A SMY - SYR,A SMY S A BUL - ANK,13,220,9337cd7f8fe259cad9fa13c8a13518f6e91e3fa9151cd495850a8c0c97f1a887,d9462e7bc6a54ba23abe39cfc54b71edd75f535f571bec0e6f873c3ed285e9b9,2428f27b37838fa0622dfdc668785e4db535d085f7a18ffa1e7282eab9f44e84
cicero_g039_p016_ENGLAND,39,4,16,F1904M,ENGLAND,GERMANY,BAL,F BAL S A BER - KIE,F BAL - BOT,22,160,f5572826f17d782c902ad73f6a3d88c99274ba52592b138f8210883792edea10,de75027e8c72bda48e08ee2738b6181fd1f8091eea6bf2a555cbb866dde8b00a,d49703af12008440a2e71dde0ce5912eb7c0f33332c607fc324ecbfff2286884
